Name,Feedback,Favorite_Animal
Apollo,"Enlightening like the sun. I learned a lot!",Swan
Ares,"Prof. efrén's class could use more battle simulations.",Centaur
Artemis,"Loved it! efrén's explanations were straight like an arrow.",Deer
Athena,"So much wisdom! Excellent strategy discussions.",Owl
Demeter,"Very fruitful class. I felt nurtured and can definitely see my growth.",Serpent
Dionysus,"I think we should have more wine in class.",Satyr
Hades,"I was miserable, but I appreciated the depth(s) of the discussions.",Cerberus
Hera,"I met great people, now we are a big family!",Peacock
Hermes,"Enjoyed the speed of the class, kept me on my toes.",Pegasus
Poseidon,"A bit dry in my opinion.",Kraken
Zeus,"efrén kept lightning fast pace!",Bull
